,Three_first_ec,ec,Database_repartition
0,1.1.1,415,0
1,1.1.2,8,1
2,1.1.3,38,1
3,1.1.4,1,1
4,1.1.5,12,1
5,1.1.7,1,1
6,1.1.9,1,1
7,1.1.98,6,1
8,1.1.99,30,1
9,1.10.1,1,1
10,1.10.2,2,1
11,1.10.3,11,1
12,1.10.5,1,1
13,1.11.1,24,1
14,1.11.2,6,1
15,1.12.1,4,1
16,1.12.2,1,1
17,1.12.5,1,1
18,1.12.7,1,1
19,1.12.98,4,1
20,1.12.99,1,1
21,1.13.11,87,1
22,1.13.12,20,1
23,1.13.99,2,1
24,1.14.11,66,1
25,1.14.12,20,2
26,1.14.13,141,2
27,1.14.14,166,2
28,1.14.15,36,2
29,1.14.16,7,2
30,1.14.17,3,2
31,1.14.18,11,2
32,1.14.19,57,3
33,1.14.20,13,3
34,1.14.21,1,3
35,1.14.99,31,3
36,1.15.1,1,3
37,1.16.1,9,3
38,1.16.3,4,3
39,1.17.1,8,3
40,1.17.2,2,3
41,1.17.3,4,3
42,1.17.4,3,3
43,1.17.5,3,3
44,1.17.7,4,3
45,1.17.8,1,3
46,1.17.9,2,3
47,1.17.98,3,3
48,1.17.99,4,3
49,1.18.1,7,3
50,1.18.6,2,3
51,1.19.1,1,3
52,1.19.6,1,3
53,1.2.1,91,3
54,1.2.2,1,3
55,1.2.3,11,3
56,1.2.4,3,3
57,1.2.5,3,3
58,1.2.7,11,3
59,1.2.98,1,3
60,1.2.99,3,3
61,1.20.1,1,3
62,1.20.2,1,3
63,1.20.4,3,3
64,1.20.9,1,3
65,1.20.99,1,3
66,1.21.1,2,3
67,1.21.3,9,3
68,1.21.4,5,3
69,1.21.98,3,3
70,1.21.99,4,3
71,1.23.1,4,3
72,1.23.5,1,3
73,1.3.1,108,3
74,1.3.2,2,3
75,1.3.3,15,3
76,1.3.4,1,4
77,1.3.5,6,4
78,1.3.7,13,4
79,1.3.8,14,4
80,1.3.98,5,4
81,1.3.99,14,4
82,1.4.1,26,4
83,1.4.2,3,4
84,1.4.3,24,4
85,1.4.4,1,4
86,1.4.5,1,4
87,1.4.7,1,4
88,1.4.9,2,4
89,1.4.99,3,4
90,1.5.1,50,4
91,1.5.3,22,4
92,1.5.4,1,4
93,1.5.5,2,4
94,1.5.7,3,4
95,1.5.8,4,4
96,1.5.98,3,4
97,1.5.99,9,4
98,1.6.1,4,4
99,1.6.2,4,4
100,1.6.3,5,4
101,1.6.5,9,4
102,1.6.99,1,4
103,1.7.1,16,4
104,1.7.2,9,4
105,1.7.3,5,4
106,1.7.5,2,4
107,1.7.6,1,4
108,1.7.7,2,4
109,1.7.99,1,4
110,1.8.1,20,4
111,1.8.2,6,4
112,1.8.3,6,4
113,1.8.4,11,4
114,1.8.5,8,4
115,1.8.7,3,4
116,1.8.98,6,4
117,1.8.99,2,4
118,1.9.3,1,4
119,1.9.6,1,4
120,1.9.98,1,4
121,1.97.1,5,5
122,2.1.1,254,5
123,2.1.2,12,5
124,2.1.3,13,5
125,2.1.4,3,5
126,2.1.5,1,5
127,2.10.1,1,5
128,2.2.1,15,6
129,2.3.1,246,6
130,2.3.2,12,6
131,2.3.3,21,7
132,2.4.1,324,7
133,2.4.2,49,7
134,2.4.3,7,7
135,2.4.99,20,8
136,2.5.1,135,8
137,2.6.1,113,8
138,2.6.3,1,8
139,2.6.99,2,9
140,2.7.1,180,9
141,2.7.10,3,9
142,2.7.11,20,9
143,2.7.12,2,9
144,2.7.13,1,9
145,2.7.14,1,9
146,2.7.2,14,9
147,2.7.3,11,9
148,2.7.4,27,9
149,2.7.6,5,9
150,2.7.7,76,9
151,2.7.8,34,9
152,2.7.9,5,9
153,2.8.1,10,9
154,2.8.2,36,10
155,2.8.3,26,10
156,2.8.4,3,10
157,2.8.5,1,10
158,3.1.1,105,10
159,3.1.11,2,10
160,3.1.13,3,10
161,3.1.14,1,10
162,3.1.15,1,10
163,3.1.16,1,10
164,3.1.2,25,10
165,3.1.21,1,10
166,3.1.22,1,10
167,3.1.25,1,10
168,3.1.26,4,10
169,3.1.27,1,10
170,3.1.3,99,10
171,3.1.30,1,10
172,3.1.4,33,10
173,3.1.5,1,10
174,3.1.6,19,10
175,3.1.7,11,10
176,3.1.8,2,10
177,3.10.1,2,10
178,3.11.1,3,10
179,3.12.1,1,10
180,3.13.1,7,10
181,3.13.2,2,11
182,3.2.1,183,11
183,3.2.2,22,11
184,3.3.1,2,11
185,3.3.2,13,11
186,3.4.11,23,11
187,3.4.13,13,11
188,3.4.14,10,11
189,3.4.15,4,11
190,3.4.16,4,11
191,3.4.17,21,11
192,3.4.18,1,11
193,3.4.19,10,11
194,3.4.21,87,11
195,3.4.22,52,12
196,3.4.23,33,12
197,3.4.24,64,12
198,3.4.25,2,12
199,3.5.1,127,12
200,3.5.2,19,12
201,3.5.3,25,12
202,3.5.4,39,12
203,3.5.5,7,12
204,3.5.99,9,12
205,3.6.1,57,12
206,3.6.2,2,12
207,3.6.3,7,12
208,3.6.4,5,13
209,3.6.5,6,13
210,3.7.1,25,13
211,3.8.1,8,13
212,3.9.1,3,13
213,4.1.1,113,13
214,4.1.2,52,13
215,4.1.3,26,13
216,4.1.99,15,13
217,4.2.1,156,13
218,4.2.2,16,14
219,4.2.3,210,14
220,4.2.99,6,14
221,4.3.1,27,14
222,4.3.2,9,14
223,4.3.3,8,14
224,4.3.99,3,14
225,4.4.1,30,14
226,4.5.1,5,14
227,4.6.1,13,14
228,4.7.1,1,14
229,4.8.1,8,14
230,4.98.1,1,14
231,4.99.1,12,14
232,5.1.1,24,14
233,5.1.2,7,14
234,5.1.3,40,14
235,5.1.99,8,14
236,5.2.1,11,15
237,5.3.1,32,15
238,5.3.2,8,15
239,5.3.3,21,15
240,5.3.4,1,15
241,5.3.99,11,15
242,5.4.1,2,15
243,5.4.2,13,15
244,5.4.3,9,15
245,5.4.4,8,15
246,5.4.99,50,15
247,5.5.1,34,15
248,5.6.1,4,15
249,5.6.2,1,15
250,5.99.1,2,15
251,6.1.1,21,15
252,6.1.2,2,15
253,6.1.3,1,15
254,6.2.1,60,15
255,6.3.1,18,15
256,6.3.2,51,15
257,6.3.3,6,15
258,6.3.4,22,15
259,6.3.5,10,15
260,6.4.1,9,15
261,6.5.1,4,15
262,6.6.1,2,15
263,6.7.1,1,15
264,7.1.1,9,15
265,7.1.2,2,15
266,7.1.3,1,15
267,7.2.1,3,15
268,7.2.2,20,16
269,7.2.4,4,16
270,7.3.2,7,16
271,7.4.2,9,16
272,7.5.2,7,16
273,7.6.2,11,16
